node1	interaction	node2	connections
11910	0	43129	3
120530	0	93869	3
75215	0	82185	3
70139	0	81830	2
14390	0	87623	5
122146	0	127452	3
18503	0	47684	4
13001	0	37113	5
6242	0	789	2
11466	0	34826	2
129019	0	90177	4
5963	0	8262	7
43475	0	89595	2
2705	0	8813	26
123857	0	94017	3
33432	0	44146	4
17486	0	36086	2
10870	0	20505	2
115455	0	9696	3
12219	0	22633	17
14305	0	65182	2
28435	0	97932	5
34020	0	68431	2
22272	0	95870	4
53787	0	75435	3
117981	0	49546	7
122777	0	56995	2
40400	0	49067	3
109182	0	4507	7
75451	0	91496	4
22088	0	5309	4
11385	0	2062	16
68687	0	81639	8
108549	0	73939	3
22217	0	74504	3
37678	0	90013	3
22864	0	55686	2
21533	0	65179	6
106214	0	67986	4
123736	0	73777	3
120330	0	128935	3
107526	0	67536	11
28984	0	6519	14
33713	0	35365	4
7129	0	79298	4
18804	0	73223	3
100744	0	68235	2
119721	0	7967	2
115830	0	83475	3
29058	0	60113	6
33050	0	81713	6
153	0	9154	34
49902	0	68728	2
15037	0	55133	5
102955	0	107067	3
126674	0	83477	3
40575	0	59744	4
45780	0	53353	2
20158	0	27167	12
5262	0	9761	61
11268	0	5987	25
19409	0	46049	33
19930	0	50209	3
1185	0	71435	2
22408	0	79082	6
24852	0	67016	2
22229	0	95065	12
49379	0	63737	4
117622	0	64208	4
70015	0	99420	2
19005	0	8928	5
13011	0	47472	6
110294	0	125571	3
116282	0	73955	2
26500	0	7801	4
21011	0	8066	10
122035	0	82863	2
109521	0	2564	2
43811	0	48233	6
71734	0	76219	7
32316	0	91866	7
2713	0	8673	3
114761	0	89040	6
24667	0	54464	7
21746	0	5373	32
108706	0	95340	2
20152	0	8914	15
13753	0	83966	8
36703	0	810	12
2579	0	631	5
63712	0	95145	2
105198	0	73380	3
45006	0	80283	4
53195	0	65493	3
125477	0	19853	3
2841	0	9057	54
11967	0	38092	11
3364	0	6474	213
41112	0	80258	3
103243	0	118551	4
34027	0	85049	2
39782	0	76797	3
55723	0	79910	5
41870	0	88029	2
29827	0	37720	4
27076	0	47993	4
115623	0	40461	2
124468	0	89695	3
17051	0	2572	4
13093	0	2159	35
130940	0	74727	3
120052	0	20601	2
79815	0	8977	3
1274	0	2451	112
55135	0	94990	5
12101	0	7056	18
132007	0	20916	2
26201	0	8364	2
23637	0	70220	3
106910	0	60469	3
39950	0	89757	2
27114	0	77572	2
29676	0	49297	6
4638	0	91748	5
21587	0	28788	2
108645	0	119208	2
12985	0	7133	272
72149	0	76516	2
